Monthly,Day,First date of the month,,,,,,Price
2017 Jan,2017 Jan- 2 to Jan- 6,2017 Jan- 2 ,3.71,3.41,3.42,3.42,3.38,3.71
2017 Feb,2017 Feb- 6 to Feb-10,2017 Feb- 6 ,2.92,3.03,3.05,3.11,3.11,2.92
2017 Mar,2017 Mar- 6 to Mar-10,2017 Mar- 6 ,2.68,2.68,2.59,2.83,2.98,2.68
2017 Apr,2017 Apr- 3 to Apr- 7,2017 Apr- 3 ,3.13,3.06,3.22,3.23,3.23,3.13
2017 May,2017 May- 1 to May- 5,2017 May- 1 ,3.2,3.13,3.14,3.11,3.1,3.2
2017 Jun,2017 Jun- 5 to Jun- 9,2017 Jun- 5 ,2.92,2.92,3.06,2.98,3.03,2.92
2017 Jul,2017 Jul- 3 to Jul- 7,2017 Jul- 3 ,2.98,2.98,2.98,2.89,2.91,2.98
2017 Aug,2017 Aug- 7 to Aug-11,2017 Aug- 7 ,2.8,2.81,2.81,2.89,2.96,2.8
2017 Sep,2017 Sep- 4 to Sep- 8,2017 Sep- 4 ,2.88,2.88,2.98,2.92,2.88,2.88
2017 Oct,2017 Oct- 2 to Oct- 6,2017 Oct- 2 ,2.94,2.73,2.8,2.8,2.93,2.94
2017 Nov,2017 Nov- 6 to Nov-10,2017 Nov- 6 ,3.01,3.07,3.16,3.18,3.17,3.01
2017 Dec,2017 Dec- 4 to Dec- 8,2017 Dec- 4 ,2.91,2.86,2.86,2.81,2.78,2.91
2018 Jan,2018 Jan- 1 to Jan- 5,2018 Jan- 1 ,,6.24,6.24,4.65,NA,6.24
2018 Feb,2018 Feb- 5 to Feb- 9,2018 Feb- 5 ,2.85,2.75,2.74,2.74,2.66,2.85
2018 Mar,2018 Mar- 5 to Mar- 9,2018 Mar- 5 ,2.7,2.7,2.8,2.8,2.71,2.7
2018 Apr,2018 Apr- 2 to Apr- 6,2018 Apr- 2 ,2.75,2.75,2.81,2.81,2.81,2.75
2018 May,2018 May- 7 to May-11,2018 May- 7 ,2.74,2.77,2.75,2.78,2.75,2.74
2018 Jun,2018 Jun- 4 to Jun- 8,2018 Jun- 4 ,2.89,2.89,2.89,3.02,2.91,2.89
2018 Jul,2018 Jul- 2 to Jul- 6,2018 Jul- 2 ,2.9,2.9,,2.91,2.91,2.9
2018 Aug,2018 Aug- 6 to Aug-10,2018 Aug- 6 ,2.85,2.95,2.99,3.02,2.96,2.85
2018 Sep,2018 Sep- 3 to Sep- 7,2018 Sep- 3 ,,2.96,3,2.93,2.88,2.96
2018 Oct,2018 Oct- 1 to Oct- 5,2018 Oct- 1 ,3.13,3.14,3.26,3.39,3.25,3.13
2018 Nov,2018 Nov- 5 to Nov- 9,2018 Nov- 5 ,3.53,3.53,3.54,3.54,3.74,3.53
2018 Dec,2018 Dec- 3 to Dec- 7,2018 Dec- 3 ,4.4,4.4,4.69,4.44,4.51,4.4
2019 Jan,2019 Jan- 7 to Jan-11,2019 Jan- 7 ,2.74,2.89,2.92,2.95,2.95,2.74
2019 Feb,2019 Feb- 4 to Feb- 8,2019 Feb- 4 ,2.57,2.54,2.58,2.62,2.66,2.57
2019 Mar,2019 Mar- 4 to Mar- 8,2019 Mar- 4 ,4.25,3.18,3.18,2.9,2.9,4.25
2019 Apr,2019 Apr- 1 to Apr- 5,2019 Apr- 1 ,2.73,2.76,2.74,2.66,2.62,2.73
2019 May,2019 May- 6 to May-10,2019 May- 6 ,2.54,2.54,2.64,2.62,2.64,2.54
2019 Jun,2019 Jun- 3 to Jun- 7,2019 Jun- 3 ,2.5,2.45,2.45,2.4,2.43,2.5
2019 Jul,2019 Jul- 1 to Jul- 5,2019 Jul- 1 ,2.33,2.3,2.29,,,2.33
2019 Aug,2019 Aug- 5 to Aug- 9,2019 Aug- 5 ,2.02,2.15,2.18,2.13,2.09,2.02
2019 Sep,2019 Sep- 2 to Sep- 6,2019 Sep- 2 ,,2.39,2.48,2.49,2.49,2.39
2019 Oct,,,,,,,,
2019 Nov,,,,,,,,
2019 Dec,,,,,,,,
2020 Jan,,,,,,,,
2020 Feb,,,,,,,,
2020 Mar,,,,,,,,
2020 Apr,,,,,,,,
2020 May,,,,,,,,
2020 Jun,,,,,,,,
2020 Jul,,,,,,,,
2020 Aug,,,,,,,,
2020 Sep,,,,,,,,
2020 Oct,,,,,,,,
2020 Nov,,,,,,,,
2020 Dec,,,,,,,,
2021 Jan,,,,,,,,
2021 May,,,,,,,,
2021 Jun,,,,,,,,
2021 Jul,,,,,,,,
2021 Aug,,,,,,,,
2021 Sep,,,,,,,,
2021 Oct,,,,,,,,
2021 Nov,,,,,,,,
2021 Dec,,,,,,,,
2022 Jan,,,,,,,,
2022 May,,,,,,,,
2022 Jun,,,,,,,,
2022 Jul,,,,,,,,
2022 Aug,,,,,,,,
2022 Sep,,,,,,,,
2022 Oct,,,,,,,,
2022 Nov,,,,,,,,
2022 Dec,,,,,,,,
2023 Jan,,,,,,,,
2023 May,,,,,,,,
2023 Jun,,,,,,,,
2023 Jul,,,,,,,,
2023 Aug,,,,,,,,
2023 Sep,,,,,,,,
2023 Oct,,,,,,,,
2023 Nov,,,,,,,,
2023 Dec,,,,,,,,
2024 Jan,,,,,,,,
2024 May,,,,,,,,
2024 Jun,,,,,,,,
2024 Jul,,,,,,,,
2024 Aug,,,,,,,,
2024 Sep,,,,,,,,
2024 Oct,,,,,,,,
2024 Nov,,,,,,,,
2024 Dec,,,,,,,,
2025 Jan,,,,,,,,
2025 May,,,,,,,,
2025 Jun,,,,,,,,
2025 Jul,,,,,,,,
2025 Aug,,,,,,,,
2025 Sep,,,,,,,,
2025 Oct,,,,,,,,
2025 Nov,,,,,,,,
2025 Dec,,,,,,,,
2026 Jan,,,,,,,,
2026 May,,,,,,,,
2026 Jun,,,,,,,,
2026 Jul,,,,,,,,
2026 Aug,,,,,,,,
2026 Sep,,,,,,,,
2026 Oct,,,,,,,,
2026 Nov,,,,,,,,
2026 Dec,,,,,,,,
2027 Jan,,,,,,,,
2027 May,,,,,,,,
2027 Jun,,,,,,,,
2027 Jul,,,,,,,,
