Month,Week Of,Month,Mon,Tue,Wed,Thu,Fri
2008 Oct,2008 Oct- 6 to Oct-10,2008 Oct,6.87,6.74,6.58,6.69,6.52
2008 Oct,2008 Oct-13 to Oct-17,2008 Oct,6.62,6.74,6.64,6.65,6.76
2008 Oct,2008 Oct-20 to Oct-24,2008 Oct,6.98,6.76,6.94,6.77,6.29
2008 Oct,2008 Oct-27 to Oct-31,2008 Oct,6.27,6.4,6.58,6.75,6.18
2008 Nov,2008 Nov- 3 to Nov- 7,2008 Nov,6.45,6.79,6.94,7.04,6.6
2008 Nov,2008 Nov-10 to Nov-14,2008 Nov,7.07,7.02,6.65,6.31,6.33
2008 Nov,2008 Nov-17 to Nov-21,2008 Nov,6.55,6.74,6.76,6.76,6.56
2008 Nov,2008 Nov-24 to Nov-28,2008 Nov,6.85,6.71,6.43,,6.43
2008 Dec,2008 Dec- 1 to Dec- 5,2008 Dec,6.48,6.68,6.48,6.55,5.99
2008 Dec,2008 Dec- 8 to Dec-12,2008 Dec,5.73,5.57,5.67,5.86,5.56
2008 Dec,2008 Dec-15 to Dec-19,2008 Dec,5.75,5.75,5.79,5.63,5.66
2008 Dec,2008 Dec-22 to Dec-26,2008 Dec,5.39,5.37,5.44,,5.44
2008 Dec,2008 Dec-29 to Jan- 2,2008 Dec,5.81,5.71,5.63,,5.41
2009 Jan,2009 Jan- 5 to Jan- 9,2009 Jan,5.83,6.1,5.89,5.96,5.6
2009 Jan,2009 Jan-12 to Jan-16,2009 Jan,5.59,5.7,5.47,5.27,5.09
2009 Jan,2009 Jan-19 to Jan-23,2009 Jan,,4.86,4.87,4.72,4.75
2009 Jan,2009 Jan-26 to Jan-30,2009 Jan,4.62,4.76,4.84,4.71,4.77
2009 Feb,2009 Feb- 2 to Feb- 6,2009 Feb,4.48,5.04,5.01,4.84,4.67
2009 Feb,2009 Feb- 9 to Feb-13,2009 Feb,4.76,4.84,4.68,4.73,4.6
2009 Feb,2009 Feb-16 to Feb-20,2009 Feb,,4.35,4.35,4.46,4.21
2009 Feb,2009 Feb-23 to Feb-27,2009 Feb,4.23,4.21,4.2,4.08,4.04
2009 Mar,2009 Mar- 2 to Mar- 6,2009 Mar,4.36,4.43,4.23,4.22,3.93
2009 Mar,2009 Mar- 9 to Mar-13,2009 Mar,3.86,3.88,3.92,3.87,3.9
2009 Mar,2009 Mar-16 to Mar-20,2009 Mar,3.78,3.78,3.75,3.68,3.99
2009 Mar,2009 Mar-23 to Mar-27,2009 Mar,4.17,4.13,4.13,4.16,3.73
2009 Mar,2009 Mar-30 to Apr- 3,2009 Mar,3.63,3.58,3.56,3.69,3.66
2009 Apr,2009 Apr- 6 to Apr-10,2009 Apr,3.74,3.6,3.5,3.59,
2009 Apr,2009 Apr-13 to Apr-17,2009 Apr,3.46,3.59,3.6,3.54,3.47
2009 Apr,2009 Apr-20 to Apr-24,2009 Apr,3.55,3.43,3.48,3.46,3.31
2009 Apr,2009 Apr-27 to May- 1,2009 Apr,3.19,3.29,3.43,3.25,3.3
2009 May,2009 May- 4 to May- 8,2009 May,3.47,3.62,3.67,3.96,4.16
2009 May,2009 May-11 to May-15,2009 May,4.24,4.41,4.42,4.1,4.05
2009 May,2009 May-18 to May-22,2009 May,4.02,3.99,3.75,3.77,3.41
2009 May,2009 May-25 to May-29,2009 May,,3.35,3.49,3.55,3.92
2009 Jun,2009 Jun- 1 to Jun- 5,2009 Jun,3.86,4.05,3.81,3.58,3.51
2009 Jun,2009 Jun- 8 to Jun-12,2009 Jun,3.53,3.53,3.56,3.51,3.54
2009 Jun,2009 Jun-15 to Jun-19,2009 Jun,3.8,4.16,3.99,4.19,4.04
2009 Jun,2009 Jun-22 to Jun-26,2009 Jun,4.01,3.91,3.8,3.82,3.81
2009 Jun,2009 Jun-29 to Jul- 3,2009 Jun,3.88,3.72,3.63,3.49,
2009 Jul,2009 Jul- 6 to Jul-10,2009 Jul,3.24,3.3,3.22,3.36,3.24
2009 Jul,2009 Jul-13 to Jul-17,2009 Jul,3.17,3.29,3.37,3.21,3.39
2009 Jul,2009 Jul-20 to Jul-24,2009 Jul,3.49,3.48,3.49,3.66,3.37
2009 Jul,2009 Jul-27 to Jul-31,2009 Jul,3.46,3.49,3.41,3.34,3.34
2009 Aug,2009 Aug- 3 to Aug- 7,2009 Aug,3.43,3.53,3.61,3.78,3.57
2009 Aug,2009 Aug-10 to Aug-14,2009 Aug,3.55,3.54,3.36,3.34,3.18
2009 Aug,2009 Aug-17 to Aug-21,2009 Aug,3.11,3.12,3.03,3.03,2.78
2009 Aug,2009 Aug-24 to Aug-28,2009 Aug,2.69,2.85,2.76,2.76,2.52
2009 Aug,2009 Aug-31 to Sep- 4,2009 Aug,2.42,2.36,2.25,2.06,1.83
2009 Sep,2009 Sep- 7 to Sep-11,2009 Sep,,2.43,2.72,2.68,2.94
2009 Sep,2009 Sep-14 to Sep-18,2009 Sep,2.84,3.21,3.28,3.5,3.21
2009 Sep,2009 Sep-21 to Sep-25,2009 Sep,3.35,3.37,3.43,3.56,3.61
2009 Sep,2009 Sep-28 to Oct- 2,2009 Sep,3.54,3.3,3.25,2.91,2.32
2009 Oct,2009 Oct- 5 to Oct- 9,2009 Oct,2.89,3.23,3.7,4.24,3.92
2009 Oct,2009 Oct-12 to Oct-16,2009 Oct,3.96,4.03,3.82,3.88,3.94
2009 Oct,2009 Oct-19 to Oct-23,2009 Oct,4.22,4.6,4.8,4.98,4.88
2009 Oct,2009 Oct-26 to Oct-30,2009 Oct,4.52,4.52,4.59,4.11,4.11
2009 Nov,2009 Nov- 2 to Nov- 6,2009 Nov,4.32,4.33,4.49,4.3,3.95
2009 Nov,2009 Nov- 9 to Nov-13,2009 Nov,3.78,3.76,3.59,3.24,2.51
2009 Nov,2009 Nov-16 to Nov-20,2009 Nov,2.65,3.47,3.74,3.57,3.09
2009 Nov,2009 Nov-23 to Nov-27,2009 Nov,3.79,3.63,3.32,,3.32
2009 Nov,2009 Nov-30 to Dec- 4,2009 Nov,4.41,4.3,4.67,4.57,4.53
2009 Dec,2009 Dec- 7 to Dec-11,2009 Dec,4.78,5.1,5.27,5.02,5.21
2009 Dec,2009 Dec-14 to Dec-18,2009 Dec,5.41,5.53,5.57,5.65,5.87
2009 Dec,2009 Dec-21 to Dec-25,2009 Dec,5.79,5.56,5.55,5.75,
2009 Dec,2009 Dec-28 to Jan- 1,2009 Dec,5.91,6.01,5.78,5.82,
2010 Jan,2010 Jan- 4 to Jan- 8,2010 Jan,6.09,6.19,6.47,7.51,6.56
2010 Jan,2010 Jan-11 to Jan-15,2010 Jan,5.77,5.57,5.61,5.77,5.66
2010 Jan,2010 Jan-18 to Jan-22,2010 Jan,,5.51,5.54,5.52,5.67
2010 Jan,2010 Jan-25 to Jan-29,2010 Jan,5.76,5.61,5.42,5.32,5.26
2010 Feb,2010 Feb- 1 to Feb- 5,2010 Feb,5.3,5.47,5.51,5.47,5.61
2010 Feb,2010 Feb- 8 to Feb-12,2010 Feb,5.73,5.54,5.48,5.53,5.48
2010 Feb,2010 Feb-15 to Feb-19,2010 Feb,,5.65,5.47,5.4,5.1
2010 Feb,2010 Feb-22 to Feb-26,2010 Feb,4.92,4.91,4.91,4.84,4.76
2010 Mar,2010 Mar- 1 to Mar- 5,2010 Mar,4.83,4.78,4.76,4.78,4.56
2010 Mar,2010 Mar- 8 to Mar-12,2010 Mar,4.47,4.51,4.44,4.47,4.35
2010 Mar,2010 Mar-15 to Mar-19,2010 Mar,4.29,4.38,4.27,4.19,4.01
2010 Mar,2010 Mar-22 to Mar-26,2010 Mar,4.02,4.08,4.02,4.01,3.92
2010 Mar,2010 Mar-29 to Apr- 2,2010 Mar,3.83,3.79,3.93,3.72,
2010 Apr,2010 Apr- 5 to Apr- 9,2010 Apr,3.93,4.16,4.08,3.92,3.9
2010 Apr,2010 Apr-12 to Apr-16,2010 Apr,4.04,3.97,4.15,4.16,3.97
2010 Apr,2010 Apr-19 to Apr-23,2010 Apr,4.02,3.93,3.96,3.95,4.07
2010 Apr,2010 Apr-26 to Apr-30,2010 Apr,4.23,4.18,4.19,4.24,3.94
2010 May,2010 May- 3 to May- 7,2010 May,3.86,3.96,4,3.97,3.91
2010 May,2010 May-10 to May-14,2010 May,4.08,4.15,4.18,4.26,4.27
2010 May,2010 May-17 to May-21,2010 May,4.34,4.42,4.28,4.12,4.12
2010 May,2010 May-24 to May-28,2010 May,4.08,4.08,4.19,4.22,4.31
2010 May,2010 May-31 to Jun- 4,2010 May,,4.39,4.32,4.46,4.6
2010 Jun,2010 Jun- 7 to Jun-11,2010 Jun,4.67,4.89,4.75,4.68,4.68
2010 Jun,2010 Jun-14 to Jun-18,2010 Jun,4.94,5.11,5.13,5.14,5.17
2010 Jun,2010 Jun-21 to Jun-25,2010 Jun,5.15,4.87,4.9,4.88,4.84
2010 Jun,2010 Jun-28 to Jul- 2,2010 Jun,4.85,4.68,4.53,4.54,4.72
2010 Jul,2010 Jul- 5 to Jul- 9,2010 Jul,,4.85,4.76,4.61,4.36
2010 Jul,2010 Jul-12 to Jul-16,2010 Jul,4.42,4.46,4.39,4.43,4.68
2010 Jul,2010 Jul-19 to Jul-23,2010 Jul,4.56,4.59,4.7,4.67,4.69
2010 Jul,2010 Jul-26 to Jul-30,2010 Jul,4.65,4.72,4.75,4.8,4.81
2010 Aug,2010 Aug- 2 to Aug- 6,2010 Aug,4.94,4.78,4.77,4.84,4.67
2010 Aug,2010 Aug- 9 to Aug-13,2010 Aug,4.52,4.43,4.38,4.42,4.35
2010 Aug,2010 Aug-16 to Aug-20,2010 Aug,4.37,4.28,4.35,4.29,4.19
2010 Aug,2010 Aug-23 to Aug-27,2010 Aug,4.12,4.07,3.99,3.85,3.75
2010 Aug,2010 Aug-30 to Sep- 3,2010 Aug,3.77,3.8,3.73,3.74,3.74
2010 Sep,2010 Sep- 6 to Sep-10,2010 Sep,,3.82,3.81,3.79,3.79
2010 Sep,2010 Sep-13 to Sep-17,2010 Sep,3.83,3.98,4.06,4.09,4.11
2010 Sep,2010 Sep-20 to Sep-24,2010 Sep,4.01,3.95,4.02,4.08,3.97
2010 Sep,2010 Sep-27 to Oct- 1,2010 Sep,3.8,3.8,3.81,3.85,3.67
2010 Oct,2010 Oct- 4 to Oct- 8,2010 Oct,3.56,3.51,3.56,3.62,3.36
2010 Oct,2010 Oct-11 to Oct-15,2010 Oct,3.43,3.4,3.58,3.58,3.47
2010 Oct,2010 Oct-18 to Oct-22,2010 Oct,3.36,3.36,3.46,3.46,3.19
2010 Oct,2010 Oct-25 to Oct-29,2010 Oct,3.18,3.28,3.37,3.36,3.36
2010 Nov,2010 Nov- 1 to Nov- 5,2010 Nov,3.42,3.2,3.35,3.53,3.47
2010 Nov,2010 Nov- 8 to Nov-12,2010 Nov,3.49,3.76,4,3.73,3.5
2010 Nov,2010 Nov-15 to Nov-19,2010 Nov,3.56,3.66,3.77,3.89,3.79
2010 Nov,2010 Nov-22 to Nov-26,2010 Nov,4.02,3.93,3.82,,3.82
2010 Nov,2010 Nov-29 to Dec- 3,2010 Nov,4.12,4.16,4.21,4.28,4.23
2010 Dec,2010 Dec- 6 to Dec-10,2010 Dec,4.47,4.48,4.47,4.52,4.37
2010 Dec,2010 Dec-13 to Dec-17,2010 Dec,4.55,4.35,4.22,4.19,3.99
2010 Dec,2010 Dec-20 to Dec-24,2010 Dec,4.1,4.17,4.01,4.08,
2010 Dec,2010 Dec-27 to Dec-31,2010 Dec,4.05,4.1,4.19,4.22,4.22
2011 Jan,2011 Jan- 3 to Jan- 7,2011 Jan,4.54,4.61,4.52,4.49,4.42
2011 Jan,2011 Jan-10 to Jan-14,2011 Jan,4.49,4.42,4.55,4.48,4.38
2011 Jan,2011 Jan-17 to Jan-21,2011 Jan,,4.52,4.48,4.57,4.72
2011 Jan,2011 Jan-24 to Jan-28,2011 Jan,4.72,4.46,4.4,4.41,4.27
2011 Jan,2011 Jan-31 to Feb- 4,2011 Jan,4.42,4.42,4.55,4.69,4.48
2011 Feb,2011 Feb- 7 to Feb-11,2011 Feb,4.32,4.24,4.22,4.11,3.96
2011 Feb,2011 Feb-14 to Feb-18,2011 Feb,3.89,3.92,3.93,3.9,3.84
2011 Feb,2011 Feb-21 to Feb-25,2011 Feb,,3.89,3.83,3.83,3.81
2011 Feb,2011 Feb-28 to Mar- 4,2011 Feb,3.93,3.93,3.79,3.75,3.7
2011 Mar,2011 Mar- 7 to Mar-11,2011 Mar,3.73,3.83,3.81,3.87,3.78
2011 Mar,2011 Mar-14 to Mar-18,2011 Mar,3.9,3.81,3.86,3.85,3.98
2011 Mar,2011 Mar-21 to Mar-25,2011 Mar,3.99,4.05,4.18,4.27,4.13
2011 Mar,2011 Mar-28 to Apr- 1,2011 Mar,4.35,4.27,4.25,4.32,4.32
2011 Apr,2011 Apr- 4 to Apr- 8,2011 Apr,4.21,4.22,4.17,4.12,4.05
2011 Apr,2011 Apr-11 to Apr-15,2011 Apr,4.05,4.08,4.14,4.12,4.21
2011 Apr,2011 Apr-18 to Apr-22,2011 Apr,4.23,4.19,4.33,4.33,
2011 Apr,2011 Apr-25 to Apr-29,2011 Apr,4.37,4.32,4.35,4.38,4.51
2011 May,2011 May- 2 to May- 6,2011 May,4.6,4.6,4.59,4.49,4.24
2011 May,2011 May- 9 to May-13,2011 May,4.28,4.19,4.23,4.1,4.09
2011 May,2011 May-16 to May-20,2011 May,4.21,4.25,4.15,4.1,4.05
2011 May,2011 May-23 to May-27,2011 May,4.27,4.37,4.36,4.37,4.36
2011 May,2011 May-30 to Jun- 3,2011 May,,4.63,4.62,4.64,4.72
2011 Jun,2011 Jun- 6 to Jun-10,2011 Jun,4.83,4.83,4.83,4.92,4.72
2011 Jun,2011 Jun-13 to Jun-17,2011 Jun,4.75,4.59,4.53,4.54,4.39
2011 Jun,2011 Jun-20 to Jun-24,2011 Jun,4.33,4.37,4.42,4.31,4.2
2011 Jun,2011 Jun-27 to Jul- 1,2011 Jun,4.25,4.34,4.4,4.28,4.33
2011 Jul,2011 Jul- 4 to Jul- 8,2011 Jul,,4.4,4.34,4.25,4.19
2011 Jul,2011 Jul-11 to Jul-15,2011 Jul,4.35,4.38,4.43,4.42,4.49
2011 Jul,2011 Jul-18 to Jul-22,2011 Jul,4.6,4.6,4.64,4.58,4.46
2011 Jul,2011 Jul-25 to Jul-29,2011 Jul,4.45,4.43,4.46,4.41,4.26
2011 Aug,2011 Aug- 1 to Aug- 5,2011 Aug,4.29,4.3,4.26,4.2,4
2011 Aug,2011 Aug- 8 to Aug-12,2011 Aug,4,4.06,4.09,4.06,4.17
2011 Aug,2011 Aug-15 to Aug-19,2011 Aug,4.05,4.03,3.98,3.98,3.99
2011 Aug,2011 Aug-22 to Aug-26,2011 Aug,3.97,4.01,4.1,4.01,3.96
2011 Aug,2011 Aug-29 to Sep- 2,2011 Aug,3.93,3.85,3.97,4.18,4.12
2011 Sep,2011 Sep- 5 to Sep- 9,2011 Sep,,3.93,3.96,3.99,3.96
2011 Sep,2011 Sep-12 to Sep-16,2011 Sep,3.92,3.96,4.01,4.04,3.84
2011 Sep,2011 Sep-19 to Sep-23,2011 Sep,3.78,3.84,3.78,3.72,3.74
2011 Sep,2011 Sep-26 to Sep-30,2011 Sep,3.8,3.92,3.88,3.77,3.68
2011 Oct,2011 Oct- 3 to Oct- 7,2011 Oct,3.57,3.56,3.63,3.49,3.4
2011 Oct,2011 Oct-10 to Oct-14,2011 Oct,3.41,3.52,3.54,3.42,3.49
2011 Oct,2011 Oct-17 to Oct-21,2011 Oct,3.72,3.63,3.59,3.61,3.54
2011 Oct,2011 Oct-24 to Oct-28,2011 Oct,3.61,3.62,3.65,3.59,3.63
2011 Oct,2011 Oct-31 to Nov- 4,2011 Oct,3.66,3.49,3.39,3.39,3.44
2011 Nov,2011 Nov- 7 to Nov-11,2011 Nov,3.35,3.42,3.55,3.48,3.29
2011 Nov,2011 Nov-14 to Nov-18,2011 Nov,3.17,3.12,3.11,3.11,3.01
2011 Nov,2011 Nov-21 to Nov-25,2011 Nov,2.94,3.06,2.84,,2.84
2011 Nov,2011 Nov-28 to Dec- 2,2011 Nov,3.09,3.39,3.53,3.49,3.35
2011 Dec,2011 Dec- 5 to Dec- 9,2011 Dec,3.38,3.43,3.45,3.42,3.29
2011 Dec,2011 Dec-12 to Dec-16,2011 Dec,3.13,3.12,3.08,3.05,3.01
2011 Dec,2011 Dec-19 to Dec-23,2011 Dec,3.03,3.06,3.05,3.08,2.97
2011 Dec,2011 Dec-26 to Dec-30,2011 Dec,,3.09,3.07,3.03,2.98
2012 Jan,2012 Jan- 2 to Jan- 6,2012 Jan,,2.97,2.96,2.91,2.85
2012 Jan,2012 Jan- 9 to Jan-13,2012 Jan,2.89,2.97,2.81,2.7,2.67
2012 Jan,2012 Jan-16 to Jan-20,2012 Jan,,2.51,2.49,2.36,2.23
2012 Jan,2012 Jan-23 to Jan-27,2012 Jan,2.39,2.6,2.61,2.68,2.59
2012 Jan,2012 Jan-30 to Feb- 3,2012 Jan,2.71,2.51,2.32,2.3,2.4
2012 Feb,2012 Feb- 6 to Feb-10,2012 Feb,2.46,2.6,2.48,2.5,2.51
2012 Feb,2012 Feb-13 to Feb-17,2012 Feb,2.42,2.48,2.54,2.47,2.67
2012 Feb,2012 Feb-20 to Feb-24,2012 Feb,,2.63,2.6,2.68,2.6
2012 Feb,2012 Feb-27 to Mar- 2,2012 Feb,2.55,2.44,2.44,2.45,2.38
2012 Mar,2012 Mar- 5 to Mar- 9,2012 Mar,2.31,2.3,2.24,2.24,2.21
2012 Mar,2012 Mar-12 to Mar-16,2012 Mar,2.17,2.15,2.13,2.07,2.01
2012 Mar,2012 Mar-19 to Mar-23,2012 Mar,2.14,2.19,2.21,2.19,2.07
2012 Mar,2012 Mar-26 to Mar-30,2012 Mar,2.16,2.09,2.05,2.02,2
2012 Apr,2012 Apr- 2 to Apr- 6,2012 Apr,1.88,1.94,2.06,1.98,
2012 Apr,2012 Apr- 9 to Apr-13,2012 Apr,1.99,1.99,1.91,1.87,1.87
2012 Apr,2012 Apr-16 to Apr-20,2012 Apr,1.88,1.89,1.87,1.85,1.82
2012 Apr,2012 Apr-23 to Apr-27,2012 Apr,1.89,1.97,1.99,2.1,2.05
2012 Apr,2012 Apr-30 to May- 4,2012 Apr,2.1,2.29,2.31,2.29,2.3
2012 May,2012 May- 7 to May-11,2012 May,2.3,2.27,2.36,2.36,2.37
2012 May,2012 May-14 to May-18,2012 May,2.41,2.38,2.5,2.6,2.56
2012 May,2012 May-21 to May-25,2012 May,2.6,2.55,2.6,2.66,2.56
2012 May,2012 May-28 to Jun- 1,2012 May,,2.5,2.39,2.34,2.24
2012 Jun,2012 Jun- 4 to Jun- 8,2012 Jun,2.32,2.39,2.41,2.33,2.22
2012 Jun,2012 Jun-11 to Jun-15,2012 Jun,2.22,2.17,2.18,2.2,2.44
2012 Jun,2012 Jun-18 to Jun-22,2012 Jun,2.45,2.59,2.6,2.48,2.5
2012 Jun,2012 Jun-25 to Jun-29,2012 Jun,2.7,2.7,2.87,2.81,2.74
2012 Jul,2012 Jul- 2 to Jul- 6,2012 Jul,2.73,2.78,,2.9,2.94
2012 Jul,2012 Jul- 9 to Jul-13,2012 Jul,2.79,2.87,2.72,2.83,2.88
2012 Jul,2012 Jul-16 to Jul-20,2012 Jul,2.92,2.83,2.84,2.99,3.03
2012 Jul,2012 Jul-23 to Jul-27,2012 Jul,3.05,3.16,3.19,3.13,3.1
2012 Jul,2012 Jul-30 to Aug- 3,2012 Jul,3.14,3.2,3.2,3.16,2.91
2012 Aug,2012 Aug- 6 to Aug-10,2012 Aug,2.9,2.99,2.97,2.89,2.84
2012 Aug,2012 Aug-13 to Aug-17,2012 Aug,2.77,2.79,2.82,2.78,2.7
2012 Aug,2012 Aug-20 to Aug-24,2012 Aug,2.75,2.8,2.8,2.81,2.81
2012 Aug,2012 Aug-27 to Aug-31,2012 Aug,2.8,2.71,2.64,2.72,2.72
2012 Sep,2012 Sep- 3 to Sep- 7,2012 Sep,,2.81,2.87,2.85,2.73
2012 Sep,2012 Sep-10 to Sep-14,2012 Sep,2.66,2.82,2.96,3.01,2.94
2012 Sep,2012 Sep-17 to Sep-21,2012 Sep,2.83,2.74,2.7,2.76,2.76
2012 Sep,2012 Sep-24 to Sep-28,2012 Sep,2.82,2.84,2.92,3.01,3.08
2012 Oct,2012 Oct- 1 to Oct- 5,2012 Oct,3.19,3.21,3.21,3.23,3.26
2012 Oct,2012 Oct- 8 to Oct-12,2012 Oct,3.18,3.18,3.26,3.28,3.38
2012 Oct,2012 Oct-15 to Oct-19,2012 Oct,3.35,3.27,3.24,3.28,3.43
2012 Oct,2012 Oct-22 to Oct-26,2012 Oct,3.49,3.34,3.43,3.39,3.38
2012 Oct,2012 Oct-29 to Nov- 2,2012 Oct,3.4,3.42,3.5,3.5,3.4
2012 Nov,2012 Nov- 5 to Nov- 9,2012 Nov,3.34,3.41,3.47,3.45,3.33
2012 Nov,2012 Nov-12 to Nov-16,2012 Nov,3.4,3.57,3.66,3.63,3.46
2012 Nov,2012 Nov-19 to Nov-23,2012 Nov,3.63,3.62,3.59,,3.59
2012 Nov,2012 Nov-26 to Nov-30,2012 Nov,3.75,3.77,3.71,3.61,3.46
2012 Dec,2012 Dec- 3 to Dec- 7,2012 Dec,3.44,3.38,3.41,3.48,3.33
2012 Dec,2012 Dec-10 to Dec-14,2012 Dec,3.35,3.39,3.33,3.27,3.15
2012 Dec,2012 Dec-17 to Dec-21,2012 Dec,3.2,3.29,3.25,3.35,3.42
2012 Dec,2012 Dec-24 to Dec-28,2012 Dec,3.3,,3.35,3.31,3.4
2012 Dec,2012 Dec-31 to Jan- 4,2012 Dec,3.43,,3.3,3.19,3.2
2013 Jan,2013 Jan- 7 to Jan-11,2013 Jan,3.3,3.21,3.14,3.08,3.18
2013 Jan,2013 Jan-14 to Jan-18,2013 Jan,3.39,3.4,3.43,3.44,3.54
2013 Jan,2013 Jan-21 to Jan-25,2013 Jan,,3.63,3.53,3.56,3.42
2013 Jan,2013 Jan-28 to Feb- 1,2013 Jan,3.25,3.14,3.24,3.33,3.34
2013 Feb,2013 Feb- 4 to Feb- 8,2013 Feb,3.27,3.34,3.41,3.39,3.26
2013 Feb,2013 Feb-11 to Feb-15,2013 Feb,3.2,3.3,3.29,3.3,3.19
2013 Feb,2013 Feb-18 to Feb-22,2013 Feb,,3.23,3.34,3.29,3.27
2013 Feb,2013 Feb-25 to Mar- 1,2013 Feb,3.42,3.46,3.49,3.48,3.54
2013 Mar,2013 Mar- 4 to Mar- 8,2013 Mar,3.53,3.63,3.57,3.54,3.57
2013 Mar,2013 Mar-11 to Mar-15,2013 Mar,3.64,3.71,3.72,3.74,3.89
2013 Mar,2013 Mar-18 to Mar-22,2013 Mar,3.98,3.96,3.97,4.01,4.01
2013 Mar,2013 Mar-25 to Mar-29,2013 Mar,4.08,3.99,4.08,4.03,
2013 Apr,2013 Apr- 1 to Apr- 5,2013 Apr,3.97,4.07,4,3.94,3.98
2013 Apr,2013 Apr- 8 to Apr-12,2013 Apr,4.18,4.08,4.07,4.11,4.21
2013 Apr,2013 Apr-15 to Apr-19,2013 Apr,4.23,4.19,4.24,4.23,4.38
2013 Apr,2013 Apr-22 to Apr-26,2013 Apr,4.33,4.27,4.25,4.19,4.16
2013 Apr,2013 Apr-29 to May- 3,2013 Apr,4.28,4.3,4.31,4.28,3.98
2013 May,2013 May- 6 to May-10,2013 May,3.93,3.88,3.86,3.87,3.9
2013 May,2013 May-13 to May-17,2013 May,3.87,3.93,4.03,4.01,3.89
2013 May,2013 May-20 to May-24,2013 May,4.1,4.13,4.16,4.15,4.15
2013 May,2013 May-27 to May-31,2013 May,,4.19,4.15,4.12,4.02
2013 Jun,2013 Jun- 3 to Jun- 7,2013 Jun,4,4,3.99,3.93,3.79
2013 Jun,2013 Jun-10 to Jun-14,2013 Jun,3.85,3.77,3.74,3.73,3.76
2013 Jun,2013 Jun-17 to Jun-21,2013 Jun,3.78,3.9,3.93,3.9,3.85
2013 Jun,2013 Jun-24 to Jun-28,2013 Jun,3.81,3.77,3.72,3.73,3.57
2013 Jul,2013 Jul- 1 to Jul- 5,2013 Jul,3.52,3.58,3.54,,3.52
2013 Jul,2013 Jul- 8 to Jul-12,2013 Jul,3.65,3.69,3.69,3.64,3.61
2013 Jul,2013 Jul-15 to Jul-19,2013 Jul,3.67,3.69,3.67,3.66,3.78
2013 Jul,2013 Jul-22 to Jul-26,2013 Jul,3.71,3.68,3.7,3.68,3.59
2013 Jul,2013 Jul-29 to Aug- 2,2013 Jul,3.49,3.48,3.46,3.44,3.39
2013 Aug,2013 Aug- 5 to Aug- 9,2013 Aug,3.33,3.35,3.32,3.27,3.32
2013 Aug,2013 Aug-12 to Aug-16,2013 Aug,3.34,3.34,3.36,3.34,3.35
2013 Aug,2013 Aug-19 to Aug-23,2013 Aug,3.46,3.48,3.51,3.52,3.5
2013 Aug,2013 Aug-26 to Aug-30,2013 Aug,3.55,3.5,3.54,3.58,3.57
2013 Sep,2013 Sep- 2 to Sep- 6,2013 Sep,,3.64,3.68,3.7,3.55
2013 Sep,2013 Sep- 9 to Sep-13,2013 Sep,3.62,3.65,3.6,3.57,3.6
2013 Sep,2013 Sep-16 to Sep-20,2013 Sep,3.64,3.77,3.72,3.73,3.68
2013 Sep,2013 Sep-23 to Sep-27,2013 Sep,3.66,3.59,3.52,3.49,3.51
2013 Sep,2013 Sep-30 to Oct- 4,2013 Sep,3.48,3.56,3.63,3.58,3.57
2013 Oct,2013 Oct- 7 to Oct-11,2013 Oct,3.62,3.72,3.7,3.74,3.74
2013 Oct,2013 Oct-14 to Oct-18,2013 Oct,3.82,3.83,3.84,3.75,3.72
2013 Oct,2013 Oct-21 to Oct-25,2013 Oct,3.77,3.7,3.66,3.65,3.69
2013 Oct,2013 Oct-28 to Nov- 1,2013 Oct,3.61,3.57,3.55,3.57,3.45
2013 Nov,2013 Nov- 4 to Nov- 8,2013 Nov,3.38,3.37,3.46,3.59,3.54
2013 Nov,2013 Nov-11 to Nov-15,2013 Nov,3.62,3.69,3.69,3.52,3.56
2013 Nov,2013 Nov-18 to Nov-22,2013 Nov,3.71,3.63,3.63,3.68,3.78
2013 Nov,2013 Nov-25 to Nov-29,2013 Nov,3.85,3.87,3.87,,3.87
2013 Dec,2013 Dec- 2 to Dec- 6,2013 Dec,3.85,3.84,3.89,3.97,4.15
2013 Dec,2013 Dec- 9 to Dec-13,2013 Dec,4.24,4.24,4.24,4.4,4.44
2013 Dec,2013 Dec-16 to Dec-20,2013 Dec,4.21,4.2,4.25,4.25,4.35
2013 Dec,2013 Dec-23 to Dec-27,2013 Dec,4.52,4.52,,4.4,4.34
2013 Dec,2013 Dec-30 to Jan- 3,2013 Dec,4.41,4.31,,4.32,4.39
2014 Jan,2014 Jan- 6 to Jan-10,2014 Jan,4.5,4.58,4.36,4.15,3.95
2014 Jan,2014 Jan-13 to Jan-17,2014 Jan,4.19,4.36,4.45,4.55,4.39
2014 Jan,2014 Jan-20 to Jan-24,2014 Jan,,4.61,4.92,5.64,5.17
2014 Jan,2014 Jan-27 to Jan-31,2014 Jan,5.66,5.25,5.23,5.27,5.04
2014 Feb,2014 Feb- 3 to Feb- 7,2014 Feb,5.04,5.78,8.12,6.9,5.92
2014 Feb,2014 Feb-10 to Feb-14,2014 Feb,8.15,7.75,5.96,5.34,5.54
2014 Feb,2014 Feb-17 to Feb-21,2014 Feb,,5.8,6,5.96,6.24
2014 Feb,2014 Feb-24 to Feb-28,2014 Feb,6.08,5.21,4.81,4.61,4.8
